Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,56.400002,56.500000,55.750000,55.750000,49.022575,2800
1996-01-02,55.750000,55.750000,55.262501,55.275002,48.604893,8400
1996-01-03,55.275002,55.625000,55.250000,55.299999,48.626877,11200
1996-01-04,55.299999,53.750000,53.037498,53.312500,46.879208,3600
1996-01-05,53.312500,53.987499,52.000000,52.049999,45.769058,12000
1996-01-08,52.049999,53.500000,51.250000,51.375000,45.175507,12400
1996-01-09,51.375000,51.500000,49.250000,49.950001,43.922470,18000
1996-01-10,49.950001,51.012501,50.012501,50.737499,44.614944,6800
1996-01-11,50.737499,52.000000,51.250000,51.875000,45.615170,5600
1996-01-12,51.875000,52.250000,52.000000,52.000000,45.725094,4800
1996-01-15,52.000000,52.187500,52.000000,52.000000,45.725094,2000
1996-01-16,52.000000,51.625000,51.125000,51.312500,45.120552,10800
1996-01-17,51.487499,51.500000,50.950001,51.500000,45.285427,12800
1996-01-18,50.750000,51.500000,50.750000,51.137501,44.966675,10400
1996-01-19,51.137501,51.500000,51.000000,51.262501,45.076588,10400
1996-01-22,51.262501,51.375000,50.775002,51.087502,44.922710,13600
1996-01-23,51.087502,52.424999,51.250000,51.924999,45.659142,13600
1996-01-24,51.924999,52.437500,51.512501,52.337502,46.021873,20800
1996-01-25,52.337502,53.000000,51.500000,53.000000,46.604424,17600
1996-01-26,53.000000,53.000000,53.000000,53.000000,46.604424,0
1996-01-29,53.000000,53.250000,52.000000,53.062500,46.659382,20400
1996-01-30,53.062500,53.250000,52.750000,53.150002,46.736313,14000
1996-01-31,53.150002,53.862499,53.262501,53.775002,47.285900,9200
1996-02-01,53.775002,54.312500,53.562500,53.562500,47.099052,4400
1996-02-02,53.562500,56.987499,54.250000,56.000000,49.242413,10400
1996-02-05,56.000000,57.500000,56.250000,57.500000,50.561401,10000
1996-02-06,57.500000,57.500000,56.775002,56.875000,50.011818,12400
1996-02-07,56.875000,58.000000,56.137501,57.537498,50.594372,28400
1996-02-08,57.750000,59.500000,57.750000,59.500000,52.320061,11200
1996-02-09,61.000000,62.500000,59.750000,61.724998,54.276569,24000
1996-02-12,61.724998,65.000000,61.737499,64.824997,57.002483,26000
1996-02-13,64.824997,66.750000,61.775002,66.324997,58.321472,25200
1996-02-14,68.000000,68.000000,65.012497,66.112503,58.134624,22000
1996-02-15,66.112503,67.500000,65.262497,66.787498,58.728157,17200
1996-02-16,66.787498,67.500000,65.562500,67.125000,59.024944,40800
1996-02-19,67.125000,69.437500,66.375000,66.375000,58.365444,27200
