Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.600000,3.600000,3.600000,3.600000,1.110440,22000
1996-01-02,3.600000,3.640000,3.600000,3.610000,1.113525,31000
1996-01-03,3.650000,3.650000,3.650000,3.650000,1.125863,11000
1996-01-04,3.600000,3.650000,3.600000,3.650000,1.125863,16000
1996-01-05,3.650000,3.650000,3.540000,3.600000,1.110440,6000
1996-01-08,3.650000,3.650000,3.450000,3.470000,1.070341,17000
1996-01-09,3.200000,3.290000,3.200000,3.290000,1.014819,3000
1996-01-10,3.050000,3.400000,3.050000,3.350000,1.033326,21000
1996-01-11,3.395000,3.400000,3.330000,3.350000,1.033326,14000
1996-01-12,3.350000,3.350000,3.330000,3.340000,1.030242,24000
1996-01-15,3.250000,3.300000,3.245000,3.300000,1.017904,9000
1996-01-16,3.260000,3.300000,3.260000,3.300000,1.017904,5000
1996-01-17,3.375000,3.425000,3.255000,3.255000,1.004023,14000
1996-01-18,3.300000,3.300000,3.025000,3.050000,0.940790,13000
1996-01-19,2.750000,3.040000,2.750000,2.800000,0.863676,167000
1996-01-22,2.835000,3.000000,2.830000,2.830000,0.872930,30000
1996-01-23,2.630000,3.000000,2.630000,2.925000,0.902233,33000
1996-01-24,3.000000,3.000000,2.910000,2.910000,0.897606,9000
1996-01-25,3.200000,3.200000,2.995000,3.020000,0.931536,13000
1996-01-26,3.020000,3.020000,3.020000,3.020000,0.931536,0
1996-01-29,3.000000,3.010000,3.000000,3.000000,0.925367,10000
1996-01-30,3.000000,3.100000,3.000000,3.005000,0.926909,27000
1996-01-31,3.005000,3.265000,3.005000,3.265000,1.007108,10000
1996-02-01,3.265000,3.245000,3.110000,3.110000,0.959297,19000
1996-02-02,3.250000,3.295000,3.240000,3.295000,1.016361,29000
1996-02-05,3.295000,3.615000,3.500000,3.550000,1.095017,41000
1996-02-06,3.550000,3.750000,3.450000,3.620000,1.116609,53000
1996-02-07,3.620000,3.625000,3.550000,3.605000,1.111982,30000
1996-02-08,3.650000,3.750000,3.600000,3.745000,1.155166,45000
1996-02-09,3.745000,4.100000,3.900000,4.025000,1.241534,45000
1996-02-12,4.025000,4.400000,4.005000,4.170000,1.286260,52000
1996-02-13,4.170000,4.225000,4.110000,4.125000,1.272379,61000
1996-02-14,4.125000,4.500000,4.200000,4.300000,1.326359,46000
1996-02-15,4.300000,4.600000,4.400000,4.475000,1.380339,123000
1996-02-16,4.475000,4.500000,4.300000,4.475000,1.380339,89000
1996-02-19,4.475000,4.550000,4.400000,4.495000,1.386508,91000
1996-02-20,4.495000,4.680000,4.300000,4.610000,1.421980,118000
1996-02-21,4.610000,4.610000,4.610000,4.610000,1.421980,0
1996-02-22,4.610000,5.070000,4.255000,5.000000,1.542278,110000
1996-02-23,5.000000,5.000000,4.710000,4.825000,1.488298,127000
1996-02-26,4.795000,4.965000,4.750000,4.900000,1.511433,208000
1996-02-27,4.900000,5.300000,4.725000,4.995000,1.540736,238000
1996-02-28,5.250000,5.250000,4.860000,4.980000,1.536109,169000
1996-02-29,4.980000,4.900000,4.725000,4.860000,1.499094,213000
1996-03-01,4.860000,4.900000,4.700000,4.770000,1.471333,112000
1996-03-04,4.770000,4.795000,4.655000,4.715000,1.454368,106000
1996-03-05,4.715000,4.715000,4.715000,4.715000,1.454368,0
1996-03-06,4.700000,4.700000,4.405000,4.600000,1.418896,51000
1996-03-07,4.600000,4.645000,4.500000,4.600000,1.418896,45000
1996-03-08,4.600000,4.600000,4.500000,4.550000,1.403473,54000
1996-03-11,4.550000,4.525000,4.425000,4.510000,1.391135,90000
1996-03-12,4.510000,4.675000,4.495000,4.555000,1.405015,121000
1996-03-13,4.500000,4.600000,4.500000,4.600000,1.418896,38000
1996-03-14,4.600000,4.675000,4.550000,4.675000,1.442030,39000
1996-03-15,4.675000,4.750000,4.665000,4.690000,1.446657,27000
1996-03-18,4.690000,4.700000,4.555000,4.625000,1.426607,61000
1996-03-19,4.625000,4.650000,4.555000,4.610000,1.421980,64000
1996-03-20,4.610000,4.610000,4.610000,4.610000,1.421980,0
1996-03-21,4.610000,4.650000,4.590000,4.625000,1.426607,32000
1996-03-22,4.625000,4.610000,4.500000,4.500000,1.388050,16000
1996-03-25,4.500000,4.570000,4.505000,4.505000,1.389593,13000
1996-03-26,4.505000,4.600000,4.510000,4.600000,1.418896,36000
1996-03-27,4.600000,4.600000,4.500000,4.555000,1.405015,21000
1996-03-28,4.555000,4.650000,4.600000,4.645000,1.432776,4000
1996-03-29,4.645000,4.700000,4.600000,4.700000,1.449741,23000
1996-04-01,4.650000,4.700000,4.600000,4.700000,1.449741,31000
1996-04-02,4.800000,4.875000,4.710000,4.770000,1.471333,47000
1996-04-03,4.770000,4.850000,4.755000,4.780000,1.474418,36000
1996-04-04,4.725000,4.750000,4.710000,4.720000,1.455911,29000
1996-04-05,4.720000,4.720000,4.720000,4.720000,1.455911,0
1996-04-08,4.800000,4.810000,4.725000,4.800000,1.480587,29000
1996-04-09,4.800000,4.790000,4.750000,4.750000,1.465164,54000
1996-04-10,4.750000,4.795000,4.750000,4.760000,1.468249,8000
1996-04-11,4.760000,4.775000,4.725000,4.760000,1.468249,42000
1996-04-12,4.705000,4.765000,4.705000,4.750000,1.465164,23000
1996-04-15,4.750000,4.825000,4.750000,4.805000,1.482129,99000
1996-04-16,4.805000,4.790000,4.650000,4.750000,1.465164,46000
1996-04-17,4.775000,5.250000,4.775000,5.235000,1.614765,118000
1996-04-18,5.235000,5.650000,5.370000,5.465000,1.685710,163000
1996-04-19,5.465000,5.500000,5.200000,5.200000,1.603969,44000
1996-04-22,5.200000,5.175000,4.700000,5.125000,1.580835,102000
1996-04-23,5.125000,5.100000,4.825000,4.895000,1.509890,85000
1996-04-24,4.895000,5.175000,4.900000,5.045000,1.556158,27000
1996-04-25,5.045000,5.090000,4.900000,4.900000,1.511433,58000
1996-04-26,4.900000,5.250000,4.960000,5.120000,1.579293,71000
1996-04-29,5.120000,5.195000,5.050000,5.140000,1.585462,55000
1996-04-30,5.140000,5.370000,5.200000,5.330000,1.644068,219000
1996-05-01,5.330000,5.855000,5.310000,5.850000,1.804466,284000
1996-05-02,5.850000,6.000000,5.600000,5.930000,1.829142,520000
1996-05-03,5.930000,6.400000,5.925000,6.130000,1.890833,913000
1996-05-06,6.130000,5.925000,5.610000,5.685000,1.753570,307000
1996-05-07,5.685000,5.680000,5.325000,5.625000,1.735063,203000
1996-05-08,5.625000,5.665000,5.300000,5.655000,1.744317,114000
1996-05-09,5.655000,5.575000,5.375000,5.405000,1.667203,132000
1996-05-10,5.405000,5.350000,5.105000,5.225000,1.611680,88000
1996-05-13,5.225000,5.650000,5.225000,5.550000,1.711929,164000
1996-05-14,5.550000,5.495000,5.300000,5.435000,1.676456,125000
1996-05-15,5.435000,5.600000,5.505000,5.560000,1.715014,109000
1996-05-16,5.560000,5.785000,5.605000,5.635000,1.738147,98000
1996-05-17,5.635000,5.600000,5.405000,5.470000,1.687252,84000
1996-05-20,5.470000,5.500000,5.330000,5.495000,1.694963,232000
1996-05-21,5.495000,5.325000,5.205000,5.305000,1.636357,226000
1996-05-22,5.305000,5.405000,5.250000,5.340000,1.647153,52000
1996-05-23,5.340000,5.310000,5.150000,5.195000,1.602427,70000
1996-05-24,5.195000,5.250000,5.195000,5.225000,1.611680,39000
1996-05-27,5.200000,5.320000,5.200000,5.300000,1.634815,74000
1996-05-28,5.300000,5.400000,5.250000,5.315000,1.639442,121000
1996-05-29,5.315000,5.850000,5.330000,5.715000,1.762824,154000
1996-05-30,5.715000,5.950000,5.610000,5.835000,1.799839,130000
1996-05-31,5.835000,5.940000,5.825000,5.855000,1.806008,77000
1996-06-03,5.855000,6.075000,5.800000,5.975000,1.843022,173000
1996-06-04,5.975000,6.070000,5.825000,5.910000,1.822973,188000
1996-06-05,5.800000,5.800000,5.700000,5.735000,1.768993,42000
1996-06-06,5.800000,5.890000,5.710000,5.720000,1.764366,113000
1996-06-07,5.400000,5.700000,5.250000,5.665000,1.747401,120000
1996-06-10,6.000000,6.000000,5.610000,5.740000,1.770536,134000
1996-06-11,5.650000,6.320000,5.620000,6.305000,1.944813,613000
1996-06-12,6.450000,6.900000,6.320000,6.395000,1.972574,831000
1996-06-13,6.300000,6.500000,6.275000,6.340000,1.955610,317000
1996-06-14,6.395000,6.400000,6.325000,6.360000,1.961777,158000
1996-06-17,6.400000,6.545000,6.350000,6.485000,2.000335,741000
1996-06-18,6.450000,6.665000,6.250000,6.495000,2.003419,741000
1996-06-19,6.620000,6.700000,6.200000,6.480000,1.998792,432000
1996-06-20,6.550000,6.550000,6.250000,6.300000,1.943271,167000
1996-06-21,6.250000,6.300000,6.075000,6.100000,1.881579,141000
1996-06-24,6.075000,6.140000,5.855000,5.875000,1.812177,80000
1996-06-25,5.900000,5.900000,5.685000,5.690000,1.755112,155000
1996-06-26,5.655000,5.660000,5.540000,5.565000,1.716555,51000
1996-06-27,5.800000,5.800000,5.355000,5.400000,1.665660,64000
1996-06-28,5.400000,5.800000,5.390000,5.770000,1.779789,213000
1996-07-01,5.700000,5.890000,5.700000,5.825000,1.796754,132000
1996-07-02,5.800000,6.000000,5.715000,5.925000,1.827600,264000
1996-07-03,5.700000,5.700000,5.460000,5.580000,1.721183,71000
1996-07-04,5.455000,5.480000,5.300000,5.480000,1.690337,106000
1996-07-05,5.900000,5.900000,5.225000,5.270000,1.625561,75000
1996-07-08,5.250000,5.255000,5.100000,5.100000,1.573123,49000
1996-07-09,5.100000,5.200000,4.905000,4.995000,1.540736,84000
1996-07-10,4.970000,5.145000,4.970000,5.050000,1.557701,45000
1996-07-11,5.100000,5.200000,5.100000,5.100000,1.573123,26000
1996-07-12,5.050000,5.100000,4.900000,4.985000,1.537652,64000
1996-07-15,4.850000,4.900000,4.600000,4.800000,1.480587,57000
1996-07-16,5.000000,5.150000,5.000000,5.090000,1.570039,214000
1996-07-17,5.400000,5.605000,5.400000,5.600000,1.727351,244000
1996-07-18,5.630000,5.875000,5.625000,5.650000,1.742775,163000
1996-07-19,5.650000,5.875000,5.600000,5.875000,1.812177,299000
1996-07-22,5.875000,5.900000,5.800000,5.860000,1.807550,21000
1996-07-23,5.850000,5.920000,5.655000,5.700000,1.758197,141000
1996-07-24,5.575000,5.575000,5.355000,5.550000,1.711929,167000
1996-07-25,5.400000,5.555000,5.400000,5.455000,1.682626,128000
1996-07-26,5.450000,5.475000,5.430000,5.450000,1.681083,109000
1996-07-29,5.350000,5.400000,5.350000,5.400000,1.665660,91000
1996-07-30,5.320000,5.375000,5.110000,5.125000,1.580835,183000
1996-07-31,4.950000,5.300000,4.950000,5.300000,1.634815,137000
1996-08-01,5.300000,5.300000,5.205000,5.250000,1.619392,83000
1996-08-02,5.200000,5.290000,5.200000,5.245000,1.617850,20000
1996-08-05,5.230000,5.250000,5.180000,5.240000,1.616307,69000
1996-08-06,5.225000,5.265000,5.175000,5.260000,1.622477,65000
1996-08-07,5.220000,5.260000,5.220000,5.260000,1.622477,14000
1996-08-08,5.250000,5.275000,5.230000,5.255000,1.620934,41000
1996-08-09,5.275000,5.300000,5.230000,5.295000,1.633273,44000
1996-08-12,5.175000,5.250000,5.175000,5.220000,1.610138,29000
